cik,event_date,filing_url
8670,2022-07-01,https://www.sec.gov/Archives/edgar/data/8670/000095010322011894/dp176549_8k.htm
8670,2021-06-10,https://www.sec.gov/Archives/edgar/data/8670/000095010321008624/dp152457_8k.htm
8670,2020-06-11,https://www.sec.gov/Archives/edgar/data/8670/000095014220001549/eh2000839_8k.htm
8670,2019-06-13,https://www.sec.gov/Archives/edgar/data/8670/000095014219001326/eh1900785_8k.htm
8670,2018-06-14,https://www.sec.gov/Archives/edgar/data/8670/000095014218001384/eh1800801_8k.htm
1739940,2025-04-28,https://www.sec.gov/Archives/edgar/data/1739940/000114036125016027/ef20048062_8k.htm
1739940,2024-04-26,https://www.sec.gov/Archives/edgar/data/1739940/000095015924000130/cigna8k.htm
1739940,2023-04-28,https://www.sec.gov/Archives/edgar/data/1739940/000095015923000155/cigna8k.htm
1739940,2022-04-29,https://www.sec.gov/Archives/edgar/data/1739940/000095015922000102/cigna8k.htm
1739940,2021-04-30,https://www.sec.gov/Archives/edgar/data/1739940/000114036121015041/brhc10023716_8k.htm
1739940,2021-03-03,https://www.sec.gov/Archives/edgar/data/1739940/000114036121007207/nt10020524x5_8k.htm
1739940,2020-04-03,https://www.sec.gov/Archives/edgar/data/1739940/000095015920000089/cigna8k.htm
1739940,2020-03-16,https://www.sec.gov/Archives/edgar/data/1739940/000114036120005865/nc10005480x3_8k.htm
1739940,2018-09-21,https://www.sec.gov/Archives/edgar/data/1739940/000095015918000404/halfmoon8k.htm
310764,2025-02-27,https://www.sec.gov/Archives/edgar/data/310764/000119312525039302/d904508d8k.htm
310764,2025-02-10,https://www.sec.gov/Archives/edgar/data/310764/000119312525023587/d907608d8k.htm
310764,2024-09-11,https://www.sec.gov/Archives/edgar/data/310764/000119312524217275/d894557d8k.htm
310764,2023-12-11,https://www.sec.gov/Archives/edgar/data/310764/000119312523292590/d18061d8k.htm
310764,2023-12-08,https://www.sec.gov/Archives/edgar/data/310764/000119312523291773/d54031d8k.htm
310764,2022-02-25,https://www.sec.gov/Archives/edgar/data/310764/000031076422000035/syk-20220222.htm
310764,2020-11-23,https://www.sec.gov/Archives/edgar/data/310764/000119312520301421/d36871d8k.htm
310764,2020-11-13,https://www.sec.gov/Archives/edgar/data/310764/000119312520292302/d77015d8k.htm
310764,2020-06-04,https://www.sec.gov/Archives/edgar/data/310764/000119312520160734/d927297d8k.htm
310764,2019-12-03,https://www.sec.gov/Archives/edgar/data/310764/000119312519305266/d103227d8k.htm
310764,2018-11-30,https://www.sec.gov/Archives/edgar/data/310764/000119312518339720/d661644d8k.htm
310764,2018-03-07,https://www.sec.gov/Archives/edgar/data/310764/000119312518073610/d518544d8k.htm
310764,2017-01-18,https://www.sec.gov/Archives/edgar/data/310764/000119312517011885/d299253d8k.htm
872589,2023-03-29,https://www.sec.gov/Archives/edgar/data/872589/000110465923038299/tm2310647d1_8k.htm
872589,2022-03-08,https://www.sec.gov/Archives/edgar/data/872589/000110465922031232/tm222431d2_8k.htm
872589,2019-05-03,https://www.sec.gov/Archives/edgar/data/872589/000093041319001557/c93557_8k.htm
872589,2018-01-08,https://www.sec.gov/Archives/edgar/data/872589/000110465918001100/a18-2403_18k.htm
872589,2017-03-09,https://www.sec.gov/Archives/edgar/data/872589/000110465917015313/a17-7791_18k.htm
872589,2017-02-07,https://www.sec.gov/Archives/edgar/data/872589/000110465917006777/a17-3908_18k.htm
872589,2016-12-30,https://www.sec.gov/Archives/edgar/data/872589/000110465916164541/a16-23942_18k.htm
882095,2024-02-12,https://www.sec.gov/Archives/edgar/data/882095/000095010324002027/dp206638_8k.htm
882095,2020-09-30,https://www.sec.gov/Archives/edgar/data/882095/000110465920110185/tm2031940d2_8k.htm
882095,2020-09-29,https://www.sec.gov/Archives/edgar/data/882095/000110465920109844/tm2031940d1_8k.htm
882095,2020-09-14,https://www.sec.gov/Archives/edgar/data/882095/000095010320017822/dp136480_8k.htm
882095,2019-07-18,https://www.sec.gov/Archives/edgar/data/882095/000110465919040899/a19-12835_18k.htm
882095,2017-09-21,https://www.sec.gov/Archives/edgar/data/882095/000110465917058292/a17-21515_68k.htm
882095,2017-09-13,https://www.sec.gov/Archives/edgar/data/882095/000110465917056959/a17-21558_18k.htm
1053507,2021-12-08,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000162/amt-20211208.htm
1053507,2021-11-15,https://www.sec.gov/Archives/edgar/data/1053507/000119312521328894/d245474d8k.htm
1053507,2021-02-10,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000013/amt-20210205.htm
1053507,2021-01-13,https://www.sec.gov/Archives/edgar/data/1053507/000119312521007688/d24157d8k.htm
1053507,2020-04-03,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000077/a8-kapril2020termloan.htm
1053507,2020-02-13,https://www.sec.gov/Archives/edgar/data/1053507/000105350720000019/a8-k2020termloan.htm
1053507,2019-02-14,https://www.sec.gov/Archives/edgar/data/1053507/000105350719000002/a8-k2019termloan.htm
1053507,2018-03-29,https://www.sec.gov/Archives/edgar/data/1053507/000105350718000014/a8-k2018securitizationclos.htm
1053507,2016-11-30,https://www.sec.gov/Archives/edgar/data/1053507/000105350716000063/a8-kcreditfacilityamendmen.htm
62709,2024-09-30,https://www.sec.gov/Archives/edgar/data/62709/000006270924000079/mmc-20240929.htm
62709,2018-09-18,https://www.sec.gov/Archives/edgar/data/62709/000006270918000034/mmc-8xk.htm
6281,2025-04-11,https://www.sec.gov/Archives/edgar/data/6281/000119312525079081/d920343d8k.htm
6281,2021-06-23,https://www.sec.gov/Archives/edgar/data/6281/000119312521197254/d177040d8k.htm
6281,2019-07-01,https://www.sec.gov/Archives/edgar/data/6281/000119312519187384/d772370d8k.htm
64803,2023-05-02,https://www.sec.gov/Archives/edgar/data/64803/000094787123000511/ss2023948_8k.htm
64803,2023-02-08,https://www.sec.gov/Archives/edgar/data/64803/000094787123000139/ss1747226_8k.htm
64803,2018-11-28,https://www.sec.gov/Archives/edgar/data/64803/000119312518336591/d650950d8k.htm
64803,2018-10-26,https://www.sec.gov/Archives/edgar/data/64803/000119312518309257/d646052d8k.htm
64803,2017-12-19,https://www.sec.gov/Archives/edgar/data/64803/000119312517373753/d508259d8k.htm
320187,2025-03-10,https://www.sec.gov/Archives/edgar/data/320187/000032018725000008/nke-20250307.htm
320187,2024-03-11,https://www.sec.gov/Archives/edgar/data/320187/000032018724000009/nke-20240308.htm
320187,2023-03-13,https://www.sec.gov/Archives/edgar/data/320187/000032018723000006/nke-20230310.htm
320187,2022-03-14,https://www.sec.gov/Archives/edgar/data/320187/000032018722000010/nke-20220311.htm
320187,2021-03-18,https://www.sec.gov/Archives/edgar/data/320187/000032018721000009/nke-20210315.htm
320187,2019-08-20,https://www.sec.gov/Archives/edgar/data/320187/000032018719000057/a8-k2019creditagreement.htm
87347,2024-04-02,https://www.sec.gov/Archives/edgar/data/87347/000119312524084191/d501949d8k.htm
798354,2022-02-23,https://www.sec.gov/Archives/edgar/data/798354/000119312522050253/d270501d8k.htm
798354,2019-07-01,https://www.sec.gov/Archives/edgar/data/798354/000119312519186646/d15278d8k.htm
798354,2019-06-24,https://www.sec.gov/Archives/edgar/data/798354/000119312519179870/d760882d8k.htm
798354,2019-02-07,https://www.sec.gov/Archives/edgar/data/798354/000119312519029907/d686781d8k.htm
1326160,2025-08-05,https://www.sec.gov/Archives/edgar/data/1326160/000110465925073897/tm2522347d1_8k.htm
1326160,2025-07-29,https://www.sec.gov/Archives/edgar/data/1326160/000110465925071391/tm2521862d1_8k.htm
1326160,2021-09-08,https://www.sec.gov/Archives/edgar/data/1326160/000110465921113669/tm2126982d1_8k.htm
1326160,2021-01-28,https://www.sec.gov/Archives/edgar/data/1326160/000110465921008865/tm214472d1_8k.htm
1326160,2019-11-21,https://www.sec.gov/Archives/edgar/data/1326160/000110465919066252/tm1922682-2_8k.htm
1326160,2018-03-09,https://www.sec.gov/Archives/edgar/data/1326160/000110465918016290/a18-7471_38k.htm
1571949,2022-06-01,https://www.sec.gov/Archives/edgar/data/1571949/000119312522165223/d280436d8k.htm
1571949,2022-05-04,https://www.sec.gov/Archives/edgar/data/1571949/000119312522140426/d352309d8k.htm
1571949,2020-08-25,https://www.sec.gov/Archives/edgar/data/1571949/000110465920098387/tm2029303d1_8k.htm
1571949,2020-08-18,https://www.sec.gov/Archives/edgar/data/1571949/000110465920096545/tm2028854d1_8k.htm
1571949,2020-08-07,https://www.sec.gov/Archives/edgar/data/1571949/000110465920092025/tm226911d1_8k.htm
1571949,2020-08-06,https://www.sec.gov/Archives/edgar/data/1571949/000110465920091460/tm2026808d1_8k.htm
885725,2025-02-26,https://www.sec.gov/Archives/edgar/data/885725/000088572525000013/bsx-20250221.htm
885725,2024-02-27,https://www.sec.gov/Archives/edgar/data/885725/000088572524000025/bsx-20240222.htm
885725,2024-01-08,https://www.sec.gov/Archives/edgar/data/885725/000088572524000007/bsx-20240108.htm
885725,2021-05-13,https://www.sec.gov/Archives/edgar/data/885725/000110465921065917/tm2116033d1_8k.htm
885725,2020-02-27,https://www.sec.gov/Archives/edgar/data/885725/000094787120000156/ss167320_8k.htm
823768,2024-11-08,https://www.sec.gov/Archives/edgar/data/823768/000110465924115866/tm2427884d1_8k.htm
823768,2024-11-07,https://www.sec.gov/Archives/edgar/data/823768/000110465924115364/tm2427744d1_8k.htm
823768,2024-09-03,https://www.sec.gov/Archives/edgar/data/823768/000110465924096357/tm2422979d1_8k.htm
823768,2024-05-10,https://www.sec.gov/Archives/edgar/data/823768/000110465924059949/tm2412128d2_8k.htm
823768,2022-06-02,https://www.sec.gov/Archives/edgar/data/823768/000110465922067600/tm2217217d1_8k.htm
823768,2020-07-30,https://www.sec.gov/Archives/edgar/data/823768/000110465920088121/tm2025932d1_8k.htm
823768,2019-11-12,https://www.sec.gov/Archives/edgar/data/823768/000110465919062660/tm1920691d2_8k.htm
823768,2018-06-29,https://www.sec.gov/Archives/edgar/data/823768/000110465918043239/a18-16120_18k.htm
821189,2025-06-05,https://www.sec.gov/Archives/edgar/data/821189/000082118925000032/eog-20250605.htm
14272,2024-02-22,https://www.sec.gov/Archives/edgar/data/14272/000114036124009040/ef20022028_8k.htm
14272,2020-11-13,https://www.sec.gov/Archives/edgar/data/14272/000114036120025431/brhc10016928_8k.htm
14272,2020-11-06,https://www.sec.gov/Archives/edgar/data/14272/000114036120024741/brhc10016662_8k.htm
14272,2019-11-22,https://www.sec.gov/Archives/edgar/data/14272/000114036119021261/form8k.htm
14272,2019-11-20,https://www.sec.gov/Archives/edgar/data/14272/000114036119021048/form8k.htm
14272,2019-05-16,https://www.sec.gov/Archives/edgar/data/14272/000114036119009278/nc10001974x1_8k.htm
14272,2019-01-30,https://www.sec.gov/Archives/edgar/data/14272/000114036119001955/s002621x12_8k.htm
14272,2019-01-22,https://www.sec.gov/Archives/edgar/data/14272/000114036119001355/s002621x7_8k.htm
14272,2019-01-04,https://www.sec.gov/Archives/edgar/data/14272/000114036119000360/s002621x1_8k.htm
753308,2020-12-18,https://www.sec.gov/Archives/edgar/data/753308/000075330820000216/nee-20201218.htm
753308,2018-05-23,https://www.sec.gov/Archives/edgar/data/753308/000075330818000096/form8k05202018.htm
